,animal_id_outcome,outcome_subtype,age_upon_outcome_(years),age_upon_outcome_age_group,outcome_monthyear,age_upon_intake,animal_id_intake,animal_type,breed,color,intake_condition,age_upon_intake_(years),intake_year,time_in_shelter_days,Adoption
5525,A666046,Partner,0.1643835616438356,"(-0.025, 2.5]",2013-10,1 month,A666046,Cat,Domestic Shorthair Mix,Black/White,Normal,0.0821917808219178,2013,4.143055555555557,0
75988,A762682,Partner,1.0,"(-0.025, 2.5]",2017-12,1 year,A762682,Cat,Domestic Shorthair Mix,Brown Tabby/White,Normal,1.0,2017,7.134722222222222,0
2973,A640790,Partner,2.0,"(-0.025, 2.5]",2014-02,2 years,A640790,Dog,Labrador Retriever Mix,Black,Normal,2.0,2014,28.922916666666666,0
64538,A746092,Partner,2.0,"(-0.025, 2.5]",2017-05,2 years,A746092,Dog,Rottweiler,Black/Tan,Normal,2.0,2017,3.9166666666666665,0
67790,A750850,Foster,0.0821917808219178,"(-0.025, 2.5]",2017-08,0 years,A750850,Dog,Great Pyrenees/American Bulldog,White/Black,Normal,0.0,2017,61.01458333333333,1
27433,A695884,Partner,3.0,"(2.5, 5.0]",2015-05,3 years,A695884,Dog,Chow Chow Mix,Red,Normal,3.0,2015,53.01805555555556,0
24683,A692159,Foster,0.7397260273972602,"(-0.025, 2.5]",2014-12,8 months,A692159,Dog,Labrador Retriever Mix,Black,Normal,0.6575342465753424,2014,36.10208333333333,1
19607,A685488,SCRP,0.6575342465753424,"(-0.025, 2.5]",2014-08,7 months,A685488,Cat,Domestic Shorthair Mix,Blue,Normal,0.5753424657534246,2014,0.9152777777777776,0
25994,A693901,Partner,2.0,"(-0.025, 2.5]",2014-12,2 years,A693901,Dog,Pit Bull Mix,Black/White,Normal,2.0,2014,7.911111111111111,0
64539,A746092,Partner,2.0,"(-0.025, 2.5]",2017-04,2 years,A746092,Dog,Rottweiler,Black/Tan,Normal,2.0,2017,3.820833333333333,0
44524,A718566,Suffering,10.0,"(7.5, 10.0]",2016-01,10 years,A718566,Cat,Domestic Shorthair Mix,Brown Tabby/White,Sick,10.0,2016,9.888194444444443,0
73592,A758933,Partner,1.0,"(-0.025, 2.5]",2017-09,1 year,A758933,Dog,Pbgv Mix,White/Tricolor,Normal,1.0,2017,5.102777777777779,0
4408,A664487,Partner,0.1643835616438356,"(-0.025, 2.5]",2013-10,1 month,A664487,Cat,Domestic Shorthair Mix,Orange Tabby,Normal,0.0821917808219178,2013,5.323611111111111,0
29069,A698309,SCRP,0.1643835616438356,"(-0.025, 2.5]",2015-03,2 months,A698309,Cat,Domestic Shorthair Mix,Black,Normal,0.1643835616438356,2015,0.7451388888888891,0
61384,A741541,SCRP,1.0,"(-0.025, 2.5]",2017-01,1 year,A741541,Cat,Domestic Shorthair Mix,Black/White,Normal,1.0,2017,0.7277777777777779,0
10307,A673109,Foster,5.0,"(2.5, 5.0]",2014-03,5 years,A673109,Dog,Maltese/Yorkshire Terrier,White/Cream,Normal,5.0,2014,5.050694444444446,1
34250,A704819,Rabies Risk,0.0136986301369863,"(-0.025, 2.5]",2015-06,4 days,A704819,Other,Bat,Red,Normal,0.010958904109589041,2015,0.8083333333333333,0
