,animal_id_outcome,outcome_subtype,sex_upon_outcome,age_upon_outcome_(days),age_upon_outcome_age_group,outcome_monthyear,animal_type,breed,color,intake_condition,age_upon_intake_(days),intake_month,time_in_shelter_days,Adoption
23248,A690210,Suffering,Intact Female,730,"(-0.025, 2.5]",2014-10,Other,Squirrel Mix,Brown,Injured,730,10,0.011805555555555557,0
10372,A673234,Foster,Neutered Male,1095,"(2.5, 5.0]",2014-08,Dog,Chihuahua Shorthair Mix,Black/Tan,Injured,1095,2,179.16666666666669,1
37161,A708544,Partner,Neutered Male,730,"(-0.025, 2.5]",2015-10,Dog,Bull Terrier Mix,Fawn/White,Normal,730,8,48.09097222222222,0
31297,A701246,Medical,Spayed Female,2555,"(5.0, 7.5]",2015-06,Cat,Domestic Shorthair Mix,Calico,Normal,2555,4,63.12152777777778,0
56622,A734850,Partner,Intact Female,2920,"(7.5, 10.0]",2016-09,Dog,Chihuahua Shorthair Mix,Brown/White,Normal,2920,9,3.26875,0
53699,A731134,Partner,Intact Male,2,"(-0.025, 2.5]",2016-07,Dog,Jack Russell Terrier Mix,Black/Tan,Pregnant,0,7,2.2277777777777783,0
30824,A700638,Foster,Spayed Female,60,"(-0.025, 2.5]",2015-05,Cat,Domestic Shorthair Mix,Black,Normal,30,4,26.222916666666666,1
73261,A758429,Partner,Intact Male,28,"(-0.025, 2.5]",2017-09,Cat,Domestic Shorthair Mix,Gray Tabby,Normal,28,9,0.6368055555555555,0
61448,A741628,SCRP,Spayed Female,365,"(-0.025, 2.5]",2017-01,Cat,Domestic Medium Hair,Blue/White,Normal,365,1,0.86875,0
44792,A718919,Partner,Unknown,365,"(-0.025, 2.5]",2016-01,Other,Rabbit Sh Mix,Black/White,Normal,365,1,0.09305555555555556,0
